FIPS,County,Total_Population_2019_est,Kemp_Votes,Abrams_Votes,Total_Population_2016,White,Black_or_African_American,American_Indian_or_Alaskan_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Two_or_more_races,POC_sum_non_white,0_to_4_2016,5_to_9_2016,10_to_14_2016,15_to_19_2016,20_to_24_2016,25_to_29_2016,30_to_34_2016,35_to_39_2016,40_to_44_2016,45_to_49_2016,50_to_54_2016,55_to_59_2016,60_to_64_2016,65_to_69_2016,70_to_74_2016,75_to_79_2016,80_to_84_2016,85_or_older_2016,Median_Age,Cases_4.20,Deaths_4.20,Recovered_4.20,Active_4.20,2018_GDP_1000s_Chained_Dollars,Per_Capita_Personal_Income_2018
13021,Bibb,153159,23225,37066,152760,62759,83961,454,3116,185,2285,90001,10763,10823,10281,10677,11319,11028,9489,9158,8561,8992,9669,10270,9133,7932,5229,3811,2817,2808,36.1,203,2,0,201,7980755,41709
13023,Bleckley,12873,3816,1002,12970,9156,3475,25,162,2,150,3814,702,715,713,1417,1092,762,686,727,672,786,914,867,702,653,556,393,292,321,37.7,5,0,0,5,232430,33672
13025,Brantley,19109,5198,461,18355,17300,608,75,49,2,321,1055,1128,1180,1295,1248,1069,1104,1035,1117,1172,1282,1404,1309,1184,1069,743,469,326,221,40,20,2,0,18,240294,27413
13027,Brooks,15457,3511,2188,15687,9706,5519,65,135,32,230,5981,968,952,956,906,899,941,982,836,852,969,1187,1209,1069,1044,796,514,334,273,42.5,30,6,0,24,286906,34944
13029,Bryan,39627,10507,4313,36230,28801,5305,173,708,57,1186,7429,2684,2947,3132,2653,1902,2345,2744,2892,2654,2406,2253,2071,1664,1463,969,619,409,423,34.5,34,2,0,32,807644,52456
13031,Bulloch,79608,14848,8630,74722,49763,22122,291,1168,84,1294,24959,4196,4126,4123,8088,12502,6025,4539,4022,3789,3822,3984,3966,3550,2901,2019,1415,902,753,28.4,31,2,0,29,2141698,32382
13033,Burke,22383,4410,4269,22688,11271,10849,84,115,25,344,11417,1595,1594,1757,1503,1445,1413,1271,1347,1244,1372,1579,1629,1543,1215,929,537,379,336,37.7,51,3,0,48,2489579,35524
13035,Butts,24936,6358,2451,23817,16528,6721,80,147,7,334,7289,1372,1333,1389,1393,1669,1788,1630,1576,1549,1674,1757,1594,1415,1323,950,634,384,387,39.2,82,2,0,80,560604,34297
13037,Calhoun,6189,810,1084,6324,2237,3896,35,51,19,86,4087,291,310,350,331,449,482,480,517,475,471,448,442,422,296,196,134,91,139,39.5,61,2,0,59,124665,24638
13039,Camden,54666,11139,5727,53008,39936,10226,371,768,98,1609,13072,3893,3643,3323,3358,5565,4799,3900,3080,2711,2994,3254,3316,2647,2447,1890,1133,571,484,32.3,27,0,0,27,1865713,36113
13043,Candler,10803,2560,963,10910,7893,2708,30,125,17,137,3017,689,774,809,706,619,714,597,609,654,699,723,698,735,656,508,330,197,193,39.5,7,0,0,7,243238,31385
13045,Carroll,119992,29204,12180,116261,89412,22310,743,1169,87,2540,26849,7357,7877,7934,9609,10747,8106,7308,7120,7120,7430,7352,7102,6066,5483,3839,2699,1718,1394,34.4,307,11,0,296,3994013,38571
13047,Catoosa,67580,18881,4590,66398,62112,1828,257,961,83,1157,4286,3712,4205,4643,4370,3704,4076,3816,4276,4516,4777,4714,4378,4044,3837,2856,2022,1357,1095,40.5,26,0,0,26,1366360,35158
13049,Charlton,13392,2534,822,12497,8199,3897,82,85,6,228,4298,623,690,650,675,912,1096,919,883,872,899,922,901,658,606,462,347,205,177,38.8,7,0,0,7,193017,24976
13051,Chatham,289430,41425,61059,289082,155876,117081,935,8334,425,6431,133206,19102,17922,16704,18654,23840,25905,22330,18976,16122,16364,17452,17993,16451,14603,10174,6836,4723,4931,35,185,6,0,179,16849129,47563
13053,Chattahoochee,10907,603,494,10922,7743,2201,161,329,91,397,3179,825,657,438,910,2943,1657,980,613,443,281,264,210,195,151,140,107,63,45,24.4,7,0,0,7,1422770,31115
13055,Chattooga,24789,5936,1445,24824,21545,2489,106,143,77,464,3279,1459,1543,1548,1517,1552,1644,1494,1580,1572,1673,1658,1786,1604,1454,1050,742,472,476,40.3,10,1,0,9,549226,30946
13057,Cherokee,258773,76700,28047,241689,214395,16316,1127,4658,217,4976,27294,14739,16694,18586,16576,13732,13826,14919,16432,17838,19133,18034,16264,13491,12604,8397,5029,2906,2489,38.6,322,10,0,312,6203380,51137
13059,Clarke,128331,12365,30427,124707,80762,35181,498,5513,131,2622,43945,6750,6430,5578,12228,24161,11962,8689,7579,6319,5744,5446,5762,5340,4526,3102,2119,1386,1586,27.8,114,13,0,101,6890589,33970
13061,Clay,2834,536,642,3020,1148,1813,11,14,1,33,1872,179,171,184,162,154,172,151,166,129,128,182,224,255,257,194,158,66,88,46.7,20,2,0,18,79221,31520
13063,Clayton,292256,10868,80971,279462,58053,198338,1594,14786,286,6405,221409,21311,22990,21702,20572,20537,22848,19488,19072,18452,19064,18251,16846,13485,10518,6185,3821,2399,1921,32.5,546,20,0,526,16751712,28020
13065,Clinch,6618,1717,534,6829,4746,1872,62,19,7,123,2083,476,496,488,444,461,457,405,396,431,402,431,439,425,403,317,166,116,76,37.2,7,0,0,7,246674,37548
13067,Cobb,760141,138852,168767,748150,475570,209951,3489,39862,530,18748,272580,48171,50305,51945,50394,49526,53810,53285,53910,53544,55581,53247,49017,40070,33390,21238,13436,8615,8666,36.5,1215,59,0,1156,45417267,57162
13069,Coffee,43273,8929,3630,43012,29625,12136,211,441,23,576,13387,2925,3017,2858,2913,3207,3289,2942,2864,2746,2850,2898,2655,2283,2074,1394,984,600,513,35.6,83,4,0,79,1389874,32644
13071,Colquitt,45600,9830,3054,45708,33355,10707,641,410,75,520,12353,3235,3688,3380,3095,2907,3006,2917,3007,2845,2820,2983,2621,2534,2341,1732,1153,759,685,36,154,5,0,149,1302673,32526
13073,Columbia,156714,40947,20023,147450,110118,25510,600,6371,266,4585,37332,9328,10600,11120,10196,8589,9884,10834,10459,9991,10083,10021,9491,8505,7102,4488,2889,1966,1904,36.5,120,2,0,118,3294683,49473
13075,Cook,17270,4116,1667,17167,12126,4626,62,135,10,208,5041,1154,1285,1307,1252,1007,1043,1003,1108,1094,1093,1127,1089,942,939,656,496,331,241,37.3,13,1,0,12,366696,32524
13077,Coweta,148509,40471,16908,140526,108753,25482,569,2797,142,2783,31773,8732,9702,10647,9658,8261,8294,8714,9400,9722,10902,10491,9759,7808,6958,4857,3182,1914,1525,38.3,170,4,0,166,3705520,46438
13079,Crawford,12404,3595,1302,12322,9421,2560,81,95,9,156,2901,605,723,768,711,647,769,644,652,703,826,1068,1094,869,831,636,381,237,158,44.6,14,0,0,14,165034,33784
13081,Crisp,22372,4445,2577,22721,11992,10110,64,284,17,254,10729,1475,1583,1551,1456,1414,1395,1310,1337,1271,1357,1498,1548,1607,1410,913,630,461,505,39.3,125,2,0,123,712897,32540
13083,Dade,16116,4508,884,16257,15588,202,93,163,10,201,669,818,846,916,1170,1384,951,903,891,970,999,1095,1226,1142,1052,743,514,352,285,41.4,12,1,0,11,376102,35640
13085,Dawson,26108,9953,1519,23604,22788,185,101,141,15,374,816,1201,1338,1425,1405,1282,1400,1326,1274,1450,1674,1830,1759,1647,1790,1310,804,438,251,44.1,45,1,0,44,814582,45201
13087,Decatur,26404,5492,3615,26822,14768,11306,221,172,34,321,12054,1757,1793,1837,1877,1760,1733,1508,1567,1598,1710,1851,1785,1619,1412,1114,801,590,510,38.6,59,1,0,58,824276,36150
13089,DeKalb,759297,48923,261042,740321,264119,409094,3363,47412,595,15738,476202,53656,49888,45469,43169,48146,63653,60652,55905,50812,50903,49299,46303,40212,32716,19345,12603,8440,9150,35.5,1534,29,0,1505,37396329,50871
13091,Dodge,20605,5220,1817,20563,13967,6134,87,95,38,242,6596,1122,1166,1130,1238,1322,1424,1277,1338,1330,1587,1536,1435,1391,1116,847,595,411,298,41.1,19,0,0,19,431156,30682
13093,Dooly,13390,2001,1782,13763,6619,6854,34,106,9,141,7144,527,712,785,776,833,913,914,928,952,953,971,1135,1024,849,608,430,242,211,42.7,73,5,0,68,312341,28297
13095,Dougherty,87956,9330,21980,90017,24561,63154,273,766,182,1081,65456,6120,6443,5954,6974,7213,6599,5454,5409,4968,5097,5434,5727,5464,4732,2964,2196,1573,1696,35.2,1446,103,0,1343,4198481,34744
